id,path,depth,numchild,label,name,description,code,url
218,0004,1,7,Rock and sediment,Rock and sediment,Rock and sediment,+@RSD,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/PA_RSD
2366,00040002,2,6,Igneous,Igneous rock and sediment,"Igneous rock and sediment - In the Rock Classification Scheme, this high level class includes fragmental igneous rock and sediment, and crystalline igneous rock. British Geological Survey Research Report RR/99/06, fig. 1.",+~IR,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/PT_IR
2367,000400020001,3,2,Crystalline,Crystalline igneous rock,"Crystalline igneous rock - Rock comprised essentially of interlocking crystals and/or glass. In the Rock Classification Scheme, this class includes normal crystalline igneous rock, and exotic crystalline igneous rock. British Geological Survey Research Report RR/99/06, section 1.3 and fig. 1.",CIR,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/CIR
2368,0004000200010001,4,9,Exotic,Exotic crystalline igneous rock,"Exotic crystalline igneous rock - These are the chemically and/or mineralogically exotic crystalline igneous rocks. In the Rock Classification Scheme, this class includes carbonatite, melilitic rock, kalsilitic rock, kimberlite, lamproite, leucitic rock, and lamprophyre. Rocks in these groups have sufficiently unusual mineral and chemical compositions that they are not classified using the modal (QAPF and ultramafic diagrams) or chemical (e.g. TAS) methods by which normal crystalline igneous rocks are classified. Although they comprise only a tiny proportion of all crystalline igneous rocks, the unusual characteristics and distinctive field settings of the exotic igneous rocks means they have attracted a large amount of attention from geologists. British Geological Survey Research Report RR/99/06, section 1.3 and fig. 1.",ECR,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/ECR
2369,00040002000100010001,5,7,Carbonatite,Carbonatite,"Carbonatite - A type of exotic crystalline igneous rock. In the Rock Classification Scheme, it is defined as an igneous rock that contains more than 50% modal primary carbonate. It is known to occur in extrusive, shallow and deep-seated environments. British Geological Survey Research Report RR/99/06, section 6.1 and figs. 25, 26.",CBT,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/CBT
2374,000400020001000100010001,6,0,Calciocarbonatite,Calciocarbonatite,"Calciocarbonatite - A type of carbonatite. In the Rock Classification Scheme, this term may be used when a chemical classification is necessary because the rock is too fine grained for an accurate mode to be determined, or if the carbonate minerals are complex Ca-Mg-Fe solid solutions. The definition of calciocarbonatite is as shown in British Geological Survey Research Report RR/99/06, section 6.1 and figs. 25, 26. See also: calcite-carbonatite.",CAOCBT,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/CAOCBT
2376,000400020001000100010002,6,0,Calcite-carbonatite,Calcite-carbonatite,"Calcite-carbonatite - A type of carbonatite. In the Rock Classification Scheme, this term may be used when a modal classification is possible. In a calcite-carbonatite more than 90% of the carbonate is calcite. British Geological Survey Research Report RR/99/06, section 6.1 and fig. 25. See also: calciocarbonatite.",CACBT,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/CACBT
2373,000400020001000100010003,6,0,Dolomite-carbonatite,Dolomite-carbonatite,"Dolomite-carbonatite - A type of carbonatite. In the Rock Classification Scheme, this term may be used when a modal classification is possible. In a dolomite-carbonatite more than 90% of the carbonate is dolomite. British Geological Survey Research Report RR/99/06, section 6.1 and fig. 25. See also: magnesiocarbonatite.",DLCBT,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/DLCBT
2370,000400020001000100010004,6,0,Ferroan-carbonatite,Ferroan-carbonatite,"Ferroan-carbonatite - A type of carbonatite. In the Rock Classification Scheme, this term may be used when a modal classification is possible. In a ferroan-carbonatite, the main carbonate mineral is ferroan dolomite, ankerite or siderite. These can be distinguished from other carbonates by stain tests. British Geological Survey Research Report RR/99/06, section 6.1 and fig. 25. See also: ferrocarbonatite.",FEFBT,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/FEFBT
2371,000400020001000100010005,6,0,Ferrocarbonatite,Ferrocarbonatite,"Ferrocarbonatite - A type of carbonatite. In the Rock Classification Scheme, this term may be used when a chemical classification is necessary because the rock is too fine grained for an accurate mode to be determined, or if the carbonate minerals are complex Ca-Mg-Fe solid solutions. The definition of ferrocarbonatite is as shown in British Geological Survey Research Report RR/99/06, section 6.1 and figs. 25, 26. See also: ferroan-carbonatite.",FEOCBT,http://data.bgs.ac.uk/id/EarthMaterialClass/RockName/FEOCBT
